Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,39200.421875,39200.421875,38635.730469,38845.820313,38845.820313,14300
2020-09-21,38812.691406,38990.761719,37938.531250,38034.140625,38034.140625,15800
2020-09-22,38200.710938,38209.968750,37531.140625,37734.078125,37734.078125,15300
2020-09-23,38124.941406,38140.070313,37313.089844,37668.421875,37668.421875,15000
2020-09-24,37282.179688,37304.261719,36495.980469,36553.601563,36553.601563,13900
2020-09-25,36991.890625,37471.171875,36730.519531,37388.660156,37388.660156,13500
2020-09-28,37756.250000,38035.871094,37544.050781,37981.628906,37981.628906,13600
2020-09-29,38176.859375,38235.941406,37831.351563,37973.218750,37973.218750,10600
2020-09-30,38068.890625,38236.339844,37828.109375,38067.929688,38067.929688,18400
2020-10-01,38410.199219,38738.890625,38410.199219,38697.050781,38697.050781,12900
2020-10-05,38956.781250,39263.851563,38819.890625,38973.699219,38973.699219,15500
2020-10-06,39336.339844,39623.761719,39191.101563,39574.570313,39574.570313,11300
2020-10-07,39633.191406,39968.039063,39450.820313,39878.949219,39878.949219,15000
2020-10-08,40204.320313,40468.878906,40062.230469,40182.671875,40182.671875,14400
2020-10-09,40226.250000,40585.359375,40066.539063,40509.488281,40509.488281,16600
2020-10-12,40716.949219,40905.488281,40387.398438,40593.800781,40593.800781,17600
2020-10-13,40592.539063,40786.820313,40461.968750,40625.511719,40625.511719,11000
2020-10-14,40623.191406,40880.250000,40279.550781,40794.738281,40794.738281,15000
2020-10-15,41048.050781,41048.050781,39667.468750,39728.410156,39728.410156,30400
2020-10-16,39936.609375,40125.710938,39699.421875,39982.980469,39982.980469,0
